"ServerName","IPAddress","Status","AzureRegion"
"SRV-711","10.10.160.163","Offline","East US"
"SRV-792","10.10.119.144","Online","West US"
"SRV-289","10.10.246.180","Online","UK South"
"SRV-661","10.10.237.96","Online","East US"
"SRV-167","10.10.5.91","Online","East US"
"SRV-916","10.10.180.156","Online","UK South"
"SRV-370","10.10.1.209","Online","South India"
"SRV-204","10.10.94.156","Online","Southeast Asia"
"SRV-877","10.10.123.112","Online","East US"
"SRV-211","10.10.249.176","Online","UK South"
"SRV-986","10.10.124.27","Online","West US"
"SRV-436","10.10.12.226","Offline","West US"
"SRV-593","10.10.253.85","Online","West US"
"SRV-842","10.10.110.31","Online","Southeast Asia"
"SRV-700","10.10.10.182","Offline","East US"
"SRV-330","10.10.217.103","Online","UK South"
"SRV-288","10.10.224.86","Offline","East US"
"SRV-909","10.10.226.151","Offline","West US"
"SRV-640","10.10.152.208","Offline","East US"
"SRV-652","10.10.35.127","Offline","South India"
"SRV-875","10.10.84.169","Offline","West US"
"SRV-581","10.10.67.84","Online","UK South"
"SRV-674","10.10.192.86","Offline","UK South"
"SRV-374","10.10.236.188","Online","West US"
"SRV-487","10.10.184.121","Offline","Southeast Asia"
"SRV-992","10.10.210.190","Offline","Southeast Asia"
"SRV-484","10.10.88.51","Offline","Southeast Asia"
"SRV-520","10.10.230.124","Online","South India"
"SRV-647","10.10.230.16","Online","South India"
"SRV-437","10.10.238.228","Online","South India"
"SRV-397","10.10.122.163","Offline","East US"
"SRV-475","10.10.84.52","Online","West US"
"SRV-892","10.10.227.1","Offline","UK South"
"SRV-212","10.10.156.178","Online","Southeast Asia"
"SRV-787","10.10.37.60","Offline","West US"
"SRV-933","10.10.239.115","Offline","UK South"
"SRV-120","10.10.195.73","Offline","West US"
"SRV-443","10.10.17.152","Online","Southeast Asia"
"SRV-640","10.10.184.47","Offline","East US"
"SRV-851","10.10.221.124","Offline","West US"
"SRV-511","10.10.226.63","Online","West US"
"SRV-271","10.10.203.209","Online","South India"
"SRV-798","10.10.216.223","Offline","East US"
"SRV-617","10.10.236.124","Offline","South India"
"SRV-714","10.10.188.174","Offline","South India"
"SRV-191","10.10.28.240","Offline","UK South"
"SRV-451","10.10.72.157","Offline","South India"
"SRV-500","10.10.214.17","Offline","West US"
"SRV-471","10.10.165.115","Offline","West US"
"SRV-974","10.10.156.114","Online","West US"
"SRV-809","10.10.12.178","Offline","Southeast Asia"
"SRV-267","10.10.103.28","Offline","West US"
"SRV-365","10.10.250.165","Online","Southeast Asia"
"SRV-660","10.10.102.7","Offline","South India"
"SRV-707","10.10.14.38","Offline","UK South"
"SRV-453","10.10.43.161","Online","West US"
"SRV-922","10.10.162.91","Offline","West US"
"SRV-318","10.10.37.35","Offline","South India"
"SRV-415","10.10.75.246","Online","East US"
"SRV-355","10.10.97.158","Online","UK South"
"SRV-494","10.10.80.53","Offline","West US"
"SRV-940","10.10.123.101","Online","West US"
"SRV-658","10.10.171.247","Online","East US"
"SRV-732","10.10.149.188","Online","East US"
"SRV-440","10.10.141.107","Online","Southeast Asia"
"SRV-656","10.10.56.39","Online","UK South"
"SRV-583","10.10.196.179","Offline","East US"
"SRV-387","10.10.171.101","Online","South India"
"SRV-896","10.10.171.213","Online","East US"
"SRV-588","10.10.169.161","Online","East US"
"SRV-827","10.10.206.23","Offline","East US"
"SRV-274","10.10.94.169","Online","Southeast Asia"
"SRV-512","10.10.220.26","Online","UK South"
"SRV-769","10.10.111.170","Online","South India"
"SRV-104","10.10.204.247","Offline","South India"
"SRV-475","10.10.94.88","Offline","UK South"
"SRV-442","10.10.53.9","Online","South India"
"SRV-953","10.10.34.68","Offline","UK South"
"SRV-643","10.10.152.245","Offline","Southeast Asia"
"SRV-830","10.10.72.130","Online","East US"
"SRV-735","10.10.199.32","Offline","Southeast Asia"
"SRV-882","10.10.236.39","Online","South India"
"SRV-474","10.10.64.207","Offline","Southeast Asia"
"SRV-144","10.10.193.19","Offline","Southeast Asia"
"SRV-390","10.10.126.199","Online","East US"
"SRV-446","10.10.43.194","Online","UK South"
"SRV-344","10.10.63.96","Online","West US"
"SRV-340","10.10.151.81","Online","East US"
"SRV-942","10.10.224.245","Offline","UK South"
"SRV-136","10.10.67.147","Online","East US"
"SRV-117","10.10.142.3","Offline","Southeast Asia"
"SRV-724","10.10.80.114","Offline","East US"
"SRV-856","10.10.74.121","Offline","East US"
"SRV-599","10.10.202.104","Offline","South India"
"SRV-824","10.10.15.120","Offline","Southeast Asia"
"SRV-330","10.10.38.176","Offline","East US"
"SRV-782","10.10.188.172","Online","UK South"
"SRV-167","10.10.193.36","Online","Southeast Asia"
"SRV-174","10.10.218.3","Online","West US"
"SRV-577","10.10.217.93","Online","UK South"
"SRV-417","10.10.93.120","Offline","South India"
"SRV-150","10.10.186.157","Offline","UK South"
"SRV-453","10.10.214.3","Online","South India"
"SRV-419","10.10.104.62","Online","Southeast Asia"
"SRV-494","10.10.167.24","Offline","West US"
"SRV-518","10.10.87.234","Online","West US"
"SRV-393","10.10.48.65","Offline","UK South"
"SRV-578","10.10.187.121","Online","South India"
"SRV-289","10.10.41.179","Offline","Southeast Asia"
"SRV-753","10.10.233.163","Online","Southeast Asia"
"SRV-636","10.10.233.137","Offline","South India"
"SRV-825","10.10.139.43","Online","Southeast Asia"
"SRV-497","10.10.212.30","Online","South India"
"SRV-755","10.10.78.164","Online","UK South"
"SRV-395","10.10.144.184","Online","East US"
"SRV-102","10.10.67.213","Offline","East US"
"SRV-565","10.10.231.251","Offline","West US"
"SRV-977","10.10.200.123","Online","Southeast Asia"
"SRV-770","10.10.192.190","Online","Southeast Asia"
"SRV-258","10.10.76.36","Offline","West US"
"SRV-296","10.10.90.236","Offline","West US"
"SRV-756","10.10.236.152","Offline","East US"
"SRV-207","10.10.236.105","Online","UK South"
"SRV-509","10.10.36.254","Online","South India"
"SRV-292","10.10.78.237","Offline","Southeast Asia"
"SRV-474","10.10.178.178","Offline","Southeast Asia"
"SRV-358","10.10.28.79","Offline","West US"
"SRV-184","10.10.117.218","Offline","UK South"
"SRV-459","10.10.238.213","Online","UK South"
"SRV-705","10.10.151.149","Offline","West US"
"SRV-772","10.10.62.93","Online","Southeast Asia"
"SRV-280","10.10.209.250","Online","Southeast Asia"
"SRV-859","10.10.219.138","Online","East US"
"SRV-587","10.10.113.185","Offline","West US"
"SRV-494","10.10.165.153","Online","Southeast Asia"
"SRV-649","10.10.65.214","Online","Southeast Asia"
"SRV-172","10.10.202.178","Online","East US"
"SRV-872","10.10.35.84","Offline","UK South"
"SRV-741","10.10.251.49","Offline","East US"
"SRV-397","10.10.36.5","Offline","Southeast Asia"
"SRV-613","10.10.69.242","Offline","Southeast Asia"
"SRV-677","10.10.30.231","Online","UK South"
"SRV-254","10.10.115.96","Offline","UK South"
"SRV-897","10.10.49.111","Online","South India"
"SRV-652","10.10.152.16","Online","East US"
"SRV-452","10.10.87.190","Online","Southeast Asia"
"SRV-451","10.10.113.232","Offline","West US"
"SRV-530","10.10.78.230","Online","South India"
"SRV-854","10.10.76.198","Online","UK South"
"SRV-621","10.10.5.60","Online","UK South"
"SRV-839","10.10.7.177","Online","South India"
"SRV-538","10.10.81.76","Offline","South India"
"SRV-208","10.10.218.240","Offline","Southeast Asia"
"SRV-469","10.10.71.190","Offline","UK South"
"SRV-210","10.10.179.179","Offline","Southeast Asia"
"SRV-629","10.10.203.244","Online","South India"
"SRV-989","10.10.77.168","Online","South India"
"SRV-847","10.10.171.69","Online","Southeast Asia"
"SRV-702","10.10.171.122","Offline","West US"
"SRV-554","10.10.48.12","Online","East US"
"SRV-930","10.10.109.91","Online","Southeast Asia"
"SRV-192","10.10.37.173","Offline","West US"
"SRV-600","10.10.75.29","Offline","West US"
"SRV-809","10.10.126.126","Offline","South India"
"SRV-861","10.10.206.174","Online","UK South"
"SRV-205","10.10.73.233","Online","UK South"
"SRV-420","10.10.102.139","Offline","East US"
"SRV-799","10.10.118.27","Online","South India"
"SRV-708","10.10.219.203","Offline","Southeast Asia"
"SRV-151","10.10.15.52","Offline","Southeast Asia"
"SRV-416","10.10.27.146","Offline","West US"
"SRV-426","10.10.34.64","Offline","West US"
